Name,Slug,Search Term,NTEE Code,NTEE Meaning,Primary Category,Has Address,Has EIN,Has Website
"Veryloud Youth",veryloud-youth,youth,MISSING,"MISSING",MISSING,NO,YES,NO
"Youth-TimeBanking",youth-timebanking,youth,MISSING,"MISSING",MISSING,NO,YES,YES
"Pennywell Youth",pennywell-youth,youth,MISSING,"MISSING",MISSING,NO,YES,NO
"Youth For Youths Voices Inc",youth-for-youths-voices-inc,youth,MISSING,"MISSING",MISSING,NO,YES,NO
"Acn Youth Foundation For Youths Empowerment And Outreach Of Less P",acn-youth-foundation-for-youths-empowerment-and-outreach-of-less-p,youth,MISSING,"MISSING",MISSING,NO,YES,NO
"Naturez Youth",naturez-youth,youth,MISSING,"MISSING",MISSING,NO,YES,NO
"Youth Passageways / Restoring Lifeways",youth-passageways,youth,MISSING,"MISSING",MISSING,NO,YES,YES
"Youth Journeyz",youth-journeyz,youth,MISSING,"MISSING",MISSING,NO,YES,NO
"Amazhing Youth",amazhing-youth,youth,MISSING,"MISSING",MISSING,NO,YES,NO
"Youth Omighty",youth-omighty,youth,MISSING,"MISSING",MISSING,NO,YES,NO
"Breast Cancer Survivorship Foundation",breast-cancer-survivorship-foundation,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"Battlestrong Breast Cancer Awareness Inc",battlestrong-breast-cancer-awareness-inc,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"K Cancer",k-cancer,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"Dfeet Breast Cancer Inc",dfeet-breast-cancer-inc,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"Breast Cancer Advocacy",breast-cancer-advocacy,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"Barbis Breast Cancer Charity",barbis-breast-cancer-charity,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"Cure Breast Cancer",cure-breast-cancer,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"Flunk Cancer",flunk-cancer,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"F5u Cancer",f5u-cancer,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"Cancer Clik",cancer-clik,cancer,MISSING,"MISSING",MISSING,NO,YES,NO
"Accelerate Climate Solutions",accelerate-climate-solutions,climate,MISSING,"MISSING",MISSING,NO,YES,YES
"Climate Security Initiative",climate-security-initiative,climate,MISSING,"MISSING",MISSING,NO,YES,NO
"Climate Collaborative",climate-collaborative,climate,MISSING,"MISSING",MISSING,NO,YES,YES
"Climate Cooperators",climate-cooperators,climate,MISSING,"MISSING",MISSING,NO,YES,NO
"Climate Resolve",climate-resolve,climate,MISSING,"MISSING",MISSING,NO,YES,YES
"Climate Aware",climate-aware,climate,MISSING,"MISSING",MISSING,NO,YES,NO
"Gsop Climate Collaboration",gsop-climate-collaboration,climate,MISSING,"MISSING",MISSING,NO,YES,NO
"Climate Change Ai",climate-change-ai,climate,MISSING,"MISSING",MISSING,NO,YES,NO
"Tackling Climate Change",climate.change,climate,MISSING,"MISSING",MISSING,NO,NO,NO
"Climate Democracy Initiative",climate-democracy-initiative,climate,MISSING,"MISSING",MISSING,NO,YES,NO
"Living Waters",living-waters-0bac,water,MISSING,"MISSING",MISSING,NO,YES,NO
"Living Waters",living-waters-56de,water,MISSING,"MISSING",MISSING,NO,YES,NO
"Living Waters",living-waters-8283,water,MISSING,"MISSING",MISSING,NO,YES,NO
